City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,4.26,92,100,10.13,CL,1691059633
1,bredasdorp,-34.5322,20.0403,22.53,41,43,2.76,ZA,1691059643
2,adamstown,-25.066,-130.1015,21.52,79,97,9.58,PN,1691059645
3,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,20,3.0,RU,1691059646
4,buulobarde,3.8538,45.5674,33.17,36,96,10.81,SO,1691059647
5,kerikeri,-35.2268,173.9474,4.95,86,1,2.16,NZ,1691059648
6,constantia,44.1833,28.65,31.5,56,0,5.12,RO,1691059649
7,aljezur,37.3191,-8.8033,23.55,53,1,6.97,PT,1691059650
8,taro,-8.3862,115.28,22.0,94,38,1.12,ID,1691059651
9,fot,47.6177,19.1887,28.52,53,6,3.13,HU,1691059652
10,isla vista,34.4133,-119.861,20.46,79,0,1.54,US,1691059654
11,bobo-dioulasso,11.1771,-4.2979,26.25,89,75,4.63,BF,1691059655
12,port-aux-francais,-49.35,70.2167,3.56,92,85,13.74,TF,1691059656
13,margaret river,-33.95,115.0667,10.84,69,99,2.3,AU,1691059657
14,vilyuchinsk,52.9306,158.4028,13.15,84,78,1.14,RU,1691059658
15,puerto baquerizo moreno,-0.9,-89.6,23.74,78,34,3.54,EC,1691059396
16,puerto ayora,-0.7393,-90.3518,23.64,94,26,0.89,EC,1691059536
17,albany,42.6001,-73.9662,16.28,84,91,1.57,US,1691059410
18,blackmans bay,-43.0167,147.3167,13.07,73,100,2.44,AU,1691059663
19,shetpe,44.1667,52.1167,38.16,17,78,5.24,KZ,1691059664
20,colombo,6.9319,79.8478,29.97,80,23,6.27,LK,1691059665
21,zhezqazghan,47.7833,67.7667,33.32,19,0,4.0,KZ,1691059666
22,happy valley-goose bay,53.3168,-60.3315,11.17,93,75,1.03,CA,1691059667
23,al jubayl,27.0112,49.6583,37.75,52,0,6.42,SA,1691059668
